solver,instance,sense,timelimit,status,objval_reported,objbound,calc_objgap,calc_status,solvertime,totaltime,nodecount,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_psd_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_relaxation_status,conic_subproblem_time,conic_relaxation_time,mip_subproblem_time,iteration_count
PAJ_Gurobi_MOSEK,ck_n75_m10_o1_5.cbf,Max,600.0,Optimal,30802.0,30802.0,0.0,conv,1.069200038909912,1.1113719940185547,NaN,PAJ_Gurobi_MOSEK.ck_n75_m10_o1_5.txt,0.0,1.4210854715202004e-14,-Inf,0.0,-Inf,-Inf,0.0,Optimal,0.0,3,1,2,Optimal,1.42e-02,3.19e-02,9.95e-01,3
PAJ_Gurobi_MOSEK,ck_n75_m10_o3_5.cbf,Max,600.0,Optimal,29489.0,29489.0,0.0,conv,4.278841972351074,4.323261976242065,NaN,PAJ_Gurobi_MOSEK.ck_n75_m10_o3_5.txt,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,-Inf,0.0,Optimal,0.0,4,1,3,Optimal,1.88e-02,2.63e-02,4.18e+00,4
PAJ_Gurobi_MOSEK,ck_n75_m10_o5_5.cbf,Max,600.0,Optimal,29070.0,29070.0,0.0,conv,2.921586036682129,2.9670047760009766,NaN,PAJ_Gurobi_MOSEK.ck_n75_m10_o5_5.txt,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,-Inf,0.0,Optimal,0.0,3,1,2,Optimal,1.55e-02,3.24e-02,2.84e+00,3
PAJ_Gurobi_MOSEK,ck_n75_m20_o1_5.cbf,Max,600.0,Optimal,27332.0,27332.0,0.0,conv,0.8704488277435303,0.9126060009002686,NaN,PAJ_Gurobi_MOSEK.ck_n75_m20_o1_5.txt,0.0,1.4210854715202004e-14,-Inf,0.0,-Inf,-Inf,0.0,Optimal,0.0,1,1,0,Optimal,8.33e-03,5.03e-02,7.59e-01,1
PAJ_Gurobi_MOSEK,ck_n75_m20_o3_5.cbf,Max,600.0,Optimal,25584.0,25584.0,0.0,conv,13.783667087554932,13.852997064590454,NaN,PAJ_Gurobi_MOSEK.ck_n75_m20_o3_5.txt,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,-Inf,0.0,Optimal,0.0,5,1,4,Optimal,4.10e-02,6.63e-02,1.36e+01,5
PAJ_Gurobi_MOSEK,ck_n75_m20_o5_5.cbf,Max,600.0,Optimal,24838.0,24838.0,0.0,conv,11.630888938903809,11.675722122192383,NaN,PAJ_Gurobi_MOSEK.ck_n75_m20_o5_5.txt,0.0,6.207699243532261e-9,-Inf,0.0,-Inf,-Inf,0.0,Optimal,0.0,4,1,3,Optimal,3.85e-02,4.75e-02,1.15e+01,4
PAJ_Gurobi_MOSEK,classical_50_0.cbf,Min,600.0,Optimal,-0.09074141582983794,-0.09074141582983795,1.5292089584404714e-16,conv,27.780992031097412,27.781908988952637,NaN,PAJ_Gurobi_MOSEK.classical_50_0.txt,0.0,8.638401105542926e-11,2.9077157348567084e-11,-Inf,-Inf,-Inf,0.0,Optimal,9.510462471168812e-9,7,6,1,Optimal,2.15e-02,8.92e-03,2.77e+01,7
PAJ_Gurobi_MOSEK,classical_50_1.cbf,Min,600.0,Optimal,-0.09476023119976283,-0.09476023119976283,0.0,conv,18.047271013259888,18.048177003860474,NaN,PAJ_Gurobi_MOSEK.classical_50_1.txt,0.0,4.705780209945942e-11,0.0,-Inf,-Inf,-Inf,0.0,Optimal,0.0,7,7,0,Optimal,2.44e-02,9.12e-03,1.80e+01,7
PAJ_Gurobi_MOSEK,estein4_A.cbf,Min,600.0,Optimal,0.8013654952726907,0.8013654952726907,0.0,conv,0.108612060546875,0.10909104347229004,NaN,PAJ_Gurobi_MOSEK.estein4_A.txt,0.0,1.788455217255347e-10,0.0,-Inf,-Inf,-Inf,0.0,Optimal,7.14409922648076e-9,3,3,0,Optimal,7.56e-03,4.82e-03,9.29e-02,3
PAJ_Gurobi_MOSEK,estein4_B.cbf,Min,600.0,Optimal,1.1880860382513814,1.1880860382513814,0.0,conv,0.36500096321105957,0.3654019832611084,NaN,PAJ_Gurobi_MOSEK.estein4_B.txt,0.0,2.6856350476833768e-11,0.0,-Inf,-Inf,-Inf,0.0,Optimal,2.3780009895688825e-9,2,2,0,Optimal,5.54e-03,3.67e-03,7.33e-02,3
